term,component,Estimate,Std. Error,z value,Pr(>|z|),conf.low,conf.high
0|5,threshold,-2.067754161030185,0.20439676455304703,-10.116374227115232,4.6741086423144605e-24,-2.4683644581106705,-1.6671438639496998
5|10,threshold,-1.1824120318729117,0.17050608257526254,-6.934720533216092,4.070249885534568e-12,-1.5165978128654385,-0.8482262508803847
10|15,threshold,-0.6349408079636002,0.16095543574504897,-3.9448236403108314,7.985873059268794e-5,-0.950407665139847,-0.3194739507873534
15|20,threshold,-0.17937023653065004,0.15773516741973082,-1.137160719862481,0.25547110431539055,-0.48852548376871807,0.129785010707418
20|25,threshold,0.23036130038375457,0.15820055978843137,1.4561345465011437,0.1453554291391596,-0.07970609913564636,0.5404286999031556
25|30,threshold,0.5112706457188368,0.15993034033547052,3.1968333503598725,0.0013894517554744648,0.19781293862608118,0.8247283528115925
30|35,threshold,0.7669121590341419,0.16211521607814997,4.730661177815912,2.23789764783362e-6,0.44917217417503935,1.0846521438932444
35|40,threshold,0.9878540690701495,0.1645547571436589,6.003193625133167,1.934736623580479e-9,0.665332671583843,1.310375466556456
40|45,threshold,1.3522488809249404,0.16949556654160006,7.978078179366727,1.4862924869876726e-15,1.0200436749641921,1.6844540868856888
45|50,threshold,1.529943242661103,0.17215870769596658,8.886818814666016,6.288343115037658e-19,1.19251837595205,1.8673681093701562
50|55,threshold,1.8251391507825714,0.17711538836415916,10.304802804768059,6.702900503975715e-25,1.477999368480995,2.1722789330841477
55|60,threshold,2.1342007950971493,0.18354718510514467,11.627532145887043,2.9860589206615575e-31,1.7744549228273592,2.4939466673669397
60|65,threshold,2.6424386816006136,0.19913063577387685,13.26987518184414,3.4615683976606452e-40,2.2521498072652517,3.0327275559359754
65|70,threshold,2.97875039766884,0.2130167333690038,13.983645090025963,1.9617738829576476e-44,2.561245272161221,3.3962555231764586
70|75,threshold,3.513452294414686,0.24416383397552496,14.389732652899262,6.002750102970402e-47,3.03489997349544,3.992004615333932
75|80,threshold,3.9545738837457147,0.28318993780453855,13.964386992009631,2.5710810351425983e-44,3.399531804864681,4.509615962626748
80|85,threshold,4.273175140193347,0.3241326256152255,13.183415683881169,1.0932664087761001e-39,3.6378868677731,4.908463412613593
85|90,threshold,4.911554660559425,0.46284600728849107,10.611638824180375,2.630934144108205e-26,4.004393155885819,5.81871616523303
interface_conddashboard,location,1.1417030875311207,0.20592510076264767,5.544263828463849,2.9519346412009408e-8,0.7380973065235498,1.5453088685386915
task_complexity.L,location,1.4842269036810556,0.1459778550008456,10.167479880235657,2.7698222484188724e-24,1.198115565338988,1.770338242023123
task_complexity.Q,location,0.141099979697885,0.1291138173440645,1.092834079267284,0.27446665575476226,-0.11195845220296433,0.3941584115987343
interface_conddashboard:task_complexity.L,location,-0.6803596250877686,0.1807368833761712,-3.7643651499274937,1.6697274405643922e-4,-1.0345974071830801,-0.3261218429924571
interface_conddashboard:task_complexity.Q,location,0.2797243748955083,0.1767827510567962,1.5823058144719069,0.11357977402307438,-0.06676345026372238,0.626212200054739
