interface,dl_ord,pred_accuracy,CI_low_boot,CI_high_boot
chatbot,low,0.8155865796764153,0.7694393511488591,0.8635294803403166
chatbot,medium,0.7330017775166878,0.697210785646563,0.7644890511284356
chatbot,high,0.7829358720959377,0.7470688860748925,0.8191072984011211
dashboard,low,0.688978635981309,0.6089446962706615,0.7642756408310427
dashboard,medium,0.7307794552864083,0.6857106417125459,0.7692443256857172
dashboard,high,0.7436321116701099,0.6839334951003506,0.7959157097881167
