dl_ord,pred_dashboard,pred_chatbot,diff_prob,cohens_h,estimate_logit,SE,z,p,CI_low_logit,CI_high_logit,OR,OR_CI_low,OR_CI_high
low,0.688978635981309,0.8155865796764153,-0.1266079436951063,-0.29547587500467953,-0.832314165881188,0.2824274850517839,-2.9470013009837936,0.0032087185346241463,-1.385861864826909,-0.27876646693546714,0.4350413626417257,0.250108147458247,0.7567166009286628
medium,0.7307794552864083,0.7330017775166878,-0.0022223222302795165,-0.005016822826850564,-0.01380877962417526,0.17522118293848027,-0.07880770687995806,0.9371855739122363,-0.3572359875121008,0.32961842826375026,0.9862861242354677,0.6996073796475036,1.3904374755874425
high,0.7436321116701099,0.7829358720959377,-0.03930376042582784,-0.09253602589248011,-0.26185902036394015,0.2142287889498196,-1.2223334765024385,0.22158154463379842,-0.6817397311572189,0.15802169042933856,0.7696195167391165,0.5057363812346152,1.1711915980807635
