term,Estimate_logit,SE,z,p,CI_low_logit,CI_high_logit,OR,OR_CI_low,OR_CI_high
Intercept,2.6238142046782316,0.22228535360609256,11.803810562021285,3.730284691188387e-32,2.1881429173195395,3.0594854920369237,13.788214488121858,8.91863508332915,21.316586786448873
"C(dl_ord, Treatment(reference='low'))[T.medium]",-0.56883330409611,0.2067413345612624,-2.7514251337463,0.005933658116955991,-0.9740388739519302,-0.16362773424028976,0.5661856199529101,0.37755505723335075,0.8490580382911751
"C(dl_ord, Treatment(reference='low'))[T.high]",-0.2400588902354864,0.21574119591355556,-1.1127169719207202,0.26583000405128954,-0.6629038642076552,0.1827860837366824,0.7865815377305845,0.5153526454486572,1.2005575618224915
"C(task_code, Treatment(reference='T1'))[T.T2]",-0.3709256651066729,0.2083055900946479,-1.7806803213400813,0.07496468972779294,-0.7791971194705463,0.037345789257200446,0.6900952378081028,0.4587742043540214,1.0380519059827726
"C(task_code, Treatment(reference='T1'))[T.T3]",-2.1786798966793923,0.1760859579798137,-12.372820193471384,3.6671548925510065e-35,-2.5238020325030606,-1.833557760855724,0.11319085568097043,0.0801542775131336,0.15984386869048814
iface_dash,-0.832314165881188,0.2824274850517839,-2.9470013009837936,0.0032087185346241463,-1.385861864826909,-0.27876646693546714,0.4350413626417257,0.250108147458247,0.7567166009286628
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.medium]",0.8185053862570127,0.33328358806010955,2.4558826644334815,0.0140539036443939,0.1652815570209144,1.4717292154931112,2.2671088520098133,1.1797252318765845,4.356762412113049
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.high]",0.5704551455172479,0.3561153487673242,1.6018830625859017,0.10918147057342202,-0.12751811240862787,1.2684284034431235,1.7690720534381223,0.8802774717445545,3.5552607339290736
