item_key,model,nobs,logLik,AIC,BIC
r1,additive_adjusted_for_role,402,-683.856833186891,1391.713666373782,1439.6710914372102
r1,interaction_adjusted_for_role,402,-681.5519839865524,1391.1039679731048,1447.054297213771
r2,additive_adjusted_for_role,402,-714.3993723109384,1452.7987446218767,1500.756169685305
r2,interaction_adjusted_for_role,402,-712.9675834268764,1453.935166853753,1509.885496094419
r3,additive_adjusted_for_role,402,-681.3709567866915,1386.741913573383,1434.6993386368113
r3,interaction_adjusted_for_role,402,-680.9599750161963,1389.9199500323925,1445.8702792730587
