item_key,term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
r1,1|2,threshold,-1.703164575739323,0.3120579055662611,-5.457847871691492,4.819402928766298e-8,-1.703164575739323,0.3120579055662611,-5.457847871691492,4.819402928766298e-8,4.819402928766298e-8,-2.314786831740196,-1.09154231973845,-2.314786831740196,-1.09154231973845
r1,2|3,threshold,-1.0042945951775732,0.3038946334541435,-3.304746068604457,9.506248626539773e-4,-1.0042945951775732,0.3038946334541435,-3.304746068604457,9.506248626539773e-4,9.506248626539773e-4,-1.5999171318426955,-0.40867205851245103,-1.5999171318426955,-0.40867205851245103
r1,3|4,threshold,-0.5963859256176363,0.3011670900619421,-1.9802493210495724,0.04767552031730494,-0.5963859256176363,0.3011670900619421,-1.9802493210495724,0.04767552031730494,0.04767552031730494,-1.1866625754677735,-0.006109275767499089,-1.1866625754677735,-0.006109275767499089
r1,4|5,threshold,-0.22472552251024677,0.299804111391003,-0.749574518733537,0.4535110023095324,-0.22472552251024677,0.299804111391003,-0.749574518733537,0.4535110023095324,0.4535110023095324,-0.812330783253647,0.36287973823315345,-0.812330783253647,0.36287973823315345
r1,5|6,threshold,0.12569372434444953,0.29947977744736004,0.4197068844374405,0.6746995952220224,0.12569372434444953,0.29947977744736004,0.4197068844374405,0.6746995952220224,0.6746995952220224,-0.4612758535504467,0.7126633022393458,-0.4612758535504467,0.7126633022393458
r1,6|7,threshold,0.9182030091935026,0.30302935138375,3.030079446101938,0.0024448941764573444,0.9182030091935026,0.30302935138375,3.030079446101938,0.0024448941764573444,0.0024448941764573444,0.32427639422281995,1.5121296241641853,0.32427639422281995,1.5121296241641853
r1,industry_roleMiddle Management,location,0.2668110637845099,0.285144216428427,0.9357056829924557,0.34942474380806793,0.2668110637845099,0.285144216428427,0.9357056829924557,0.34942474380806793,0.34942474380806793,-0.29206133081510133,0.8256834583841212,-0.29206133081510133,0.8256834583841212
r1,industry_roleUpper Management,location,-0.022967721626475854,0.3416148101109075,-0.06723280416039115,0.9463963702539021,-0.022967721626475854,0.3416148101109075,-0.06723280416039115,0.9463963702539021,0.9463963702539021,-0.6925204460293439,0.6465850027763922,-0.6925204460293439,0.6465850027763922
r1,interface_conddashboard,location,-1.1690682964892295e-4,0.2572690634307775,-4.5441464313636246e-4,0.9996374295845167,-1.1690682964892295e-4,0.2572690634307775,-4.5441464313636246e-4,0.9996374295845167,0.9996374295845167,-0.5043550054903234,0.5041211918310256,-0.5043550054903234,0.5041211918310256
r1,task_complexitymid,location,-1.0318287507720385,0.20305650804987127,-5.081485743459246,3.744941240053724e-7,-1.0318287507720385,0.20305650804987127,-5.081485743459246,3.744941240053724e-7,3.744941240053724e-7,-1.4298121933762538,-0.6338453081678234,-1.4298121933762538,-0.6338453081678234
r1,task_complexityhard,location,-1.663040668628624,0.21808429070703597,-7.625678416528743,2.4275430568576244e-14,-1.663040668628624,0.21808429070703597,-7.625678416528743,2.4275430568576244e-14,2.4275430568576244e-14,-2.0904780240083776,-1.2356033132488706,-2.0904780240083776,-1.2356033132488706
r1,interface_conddashboard:task_complexitymid,location,0.4972699297278141,0.2694365968434097,1.8455916365987053,0.06495152178439659,0.4972699297278141,0.2694365968434097,1.8455916365987053,0.06495152178439659,0.06495152178439659,-0.03081609620230724,1.0253559556579355,-0.03081609620230724,1.0253559556579355
r1,interface_conddashboard:task_complexityhard,location,-0.008814834555234581,0.2774193105158991,-0.03177440870587629,0.9746519552228209,-0.008814834555234581,0.2774193105158991,-0.03177440870587629,0.9746519552228209,0.9746519552228209,-0.5525466917823305,0.5349170226718614,-0.5525466917823305,0.5349170226718614
r2,1|2,threshold,-0.2118350386898225,0.2538521023749372,-0.8344821126474032,0.40400936294016865,-0.2118350386898225,0.2538521023749372,-0.8344821126474032,0.40400936294016865,0.40400936294016865,-0.709376016744474,0.285705939364829,-0.709376016744474,0.285705939364829
r2,2|3,threshold,0.37038145901497455,0.25468172250993315,1.4542914794387292,0.14586551174948434,0.37038145901497455,0.25468172250993315,1.4542914794387292,0.14586551174948434,0.14586551174948434,-0.12878554462511832,0.8695484626550674,-0.12878554462511832,0.8695484626550674
r2,3|4,threshold,0.6977807805536914,0.2561576854671929,2.7240282846913013,0.006449098312288179,0.6977807805536914,0.2561576854671929,2.7240282846913013,0.006449098312288179,0.006449098312288179,0.19572094267485418,1.1998406184325288,0.19572094267485418,1.1998406184325288
r2,4|5,threshold,1.1028123281215105,0.2591717903553097,4.255140293662431,2.0891797873694455e-5,1.1028123281215105,0.2591717903553097,4.255140293662431,2.0891797873694455e-5,2.0891797873694455e-5,0.5948449532163383,1.6107797030266826,0.5948449532163383,1.6107797030266826
r2,5|6,threshold,1.6773726696732196,0.2661849593016084,6.301530612676823,2.9472055614441604e-10,1.6773726696732196,0.2661849593016084,6.301530612676823,2.9472055614441604e-10,2.9472055614441604e-10,1.1556597362158072,2.199085603130632,1.1556597362158072,2.199085603130632
r2,6|7,threshold,2.462327671745272,0.2799491508372402,8.795624721065312,1.4225428385110095e-18,2.462327671745272,0.2799491508372402,8.795624721065312,1.4225428385110095e-18,1.4225428385110095e-18,1.9136374186017102,3.011017924888834,1.9136374186017102,3.011017924888834
r2,industry_roleMiddle Management,location,-0.10496098213318882,0.22998821616294152,-0.45637547820635427,0.648119996173208,-0.10496098213318882,0.22998821616294152,-0.45637547820635427,0.648119996173208,0.648119996173208,-0.5557296026811668,0.3458076384147892,-0.5557296026811668,0.3458076384147892
