item_key,term,component,Estimate,Std. Error,z value,Pr(>|z|),conf.low,conf.high
r1,1|2,threshold,-1.760831602072752,0.19385760545519196,-9.083118497921138,1.0550765058130242e-19,-2.1407855268941036,-1.3808776772514002
r1,2|3,threshold,-1.0724053864314855,0.18242605460552785,-5.878575781022179,4.138113566502051e-9,-1.4299538833000573,-0.7148568895629137
r1,3|4,threshold,-0.6716127741659316,0.17850357309959058,-3.7624612353906546,1.682493928752558e-4,-1.0214733485528418,-0.3217521997790213
r1,4|5,threshold,-0.30491550004195794,0.17611585369200664,-1.7313347643034884,0.08339207442962922,-0.6500962303848163,0.04026523030090051
r1,5|6,threshold,0.041558687588657835,0.17468650856270185,0.23790439187661014,0.8119552490774496,-0.3008205777792855,0.38393795295660116
r1,6|7,threshold,0.828517804754931,0.179027582545302,4.627877967046105,3.6943158593860564e-6,0.4776301907268675,1.1794054187829945
r1,interface_conddashboard,location,0.15785790125669077,0.2034643806771778,0.7758503023050137,0.4378373792055667,-0.24092495700732489,0.5566407595207065
r1,task_complexitymid,location,-0.7580950832969046,0.13824357641319118,-5.483763535103156,4.163712456059501e-8,-1.0290475141607702,-0.487142652433039
r1,task_complexityhard,location,-1.6534028525908497,0.15715247639557706,-10.521010489385986,6.912817745133668e-26,-1.9614160464074617,-1.3453896587742378
r2,1|2,threshold,-0.30833356502022036,0.14937421212495766,-2.064168644868143,0.03900172929526042,-0.6011016410041836,-0.015565489036257152
r2,2|3,threshold,0.2722521660777112,0.1498142461542082,1.8172648667702405,0.06917656680535123,-0.02137836075555516,0.5658826929109775
r2,3|4,threshold,0.5994339917717406,0.15264936144394473,3.9268686491810993,8.605894740675611e-5,0.30024674107857185,0.8986212424649094
r2,4|5,threshold,1.0027341925773747,0.15779196205196613,6.354786261211082,2.0871662552510295e-10,0.6934676299056102,1.3120007552491393
r2,5|6,threshold,1.573216414565654,0.16810001399534913,9.358811919011384,8.06383050806439e-21,1.2437464413340908,1.902686387797217
r2,6|7,threshold,2.350050764011925,0.18783472445031954,12.511268994000575,6.478097010147195e-36,1.9819014690432935,2.718200058980556
r2,interface_conddashboard,location,0.1443307885467118,0.16385078853882715,0.8808672197052639,0.37838969168273623,-0.17681085582787762,0.46547243292130125
r2,task_complexitymid,location,0.7975572252677101,0.13602101778056408,5.863485204576026,4.532512525020656e-9,0.5309609292773223,1.064153521258098
r2,task_complexityhard,location,1.4217447831769632,0.14637943158523464,9.712736057108554,2.660964866139152e-22,1.1348463691924584,1.708643197161468
r3,1|2,threshold,-1.413918936182332,0.18366752886236534,-7.698252080485486,1.3794004798043261e-14,-1.773900677882039,-1.0539371944826252
r3,2|3,threshold,-0.9278944367391332,0.17412003228708298,-5.329050451870199,9.872757099245412e-8,-1.269163429008767,-0.5866254444694993
r3,3|4,threshold,-0.603550752702797,0.17063758309553473,-3.5370329428827385,4.046491901117853e-4,-0.9379942699790058,-0.26910723542658826
r3,4|5,threshold,-0.16874009342824245,0.1681970862780048,-1.0032283980790258,0.3157506741670805,-0.4984003248377079,0.16092013798122304
r3,5|6,threshold,0.6502758884294039,0.17067118844383233,3.8101093357266262,1.3890534759595236e-4,0.3157665058808439,0.9847852709779639
r3,6|7,threshold,1.4475859907555113,0.18130966932002018,7.984052897920481,1.4160529243747477e-15,1.092225568839405,1.8029464126716177
r3,interface_conddashboard,location,-0.5143108023443745,0.1958107255352404,-2.6265711489425696,0.008624995910881183,-0.8980927721801031,-0.13052883250864594
r3,task_complexitymid,location,0.5844572911539574,0.1339847007017799,4.36211961584203,1.2880840954470792e-5,0.32185210329909036,0.8470624790088244
r3,task_complexityhard,location,1.2595232568418548,0.14510226268391024,8.680245459614861,3.949155989912788e-18,0.9751280479061206,1.543918465777589
