item_key,model,nobs,logLik,AIC,BIC
r1,no_interface,402,-685.0160665519002,1388.0321331038003,1424.0002019013716
r1,no_complexity,402,-744.7788350787343,1505.5576701574687,1537.5292868664208
r1,additive,402,-684.7154545039139,1389.4309090078277,1429.395429894018
r2,no_interface,402,-716.2141688167605,1450.428337633521,1486.3964064310924
r2,no_complexity,402,-765.3122471811128,1546.6244943622255,1578.5961110711776
r2,additive,402,-715.8263087154619,1451.6526174309238,1491.617138317114
r3,no_interface,402,-686.130654655175,1390.26130931035,1426.2293781079213
r3,no_complexity,402,-721.946395809613,1459.892791619226,1491.8644083281781
r3,additive,402,-682.7073228743818,1385.4146457487636,1425.379166634954
