interface,contrast,from_complexity,to_complexity,diff_time,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time,ratio_time_CI_low_boot,ratio_time_CI_high_boot,log_effect,SE_robust,z,p_value,TR,TR_CI_low,TR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
dashboard,mid_vs_easy,easy,mid,62.550919497629124,44.134963112925455,81.56472573787636,1.5294889914581147,1.3589439368162737,1.717661440355398,0.42493368710538676,0.06021932627696787,7.056433762659206,1.7083001265802688e-12,1.5294889914581142,1.359213163988706,1.7210961731172563,1.7083001265802688e-12,True,0.05,complexity_effects_within_interface | interface=dashboard,3.0,Yes
dashboard,hard_vs_easy,easy,hard,220.53188374684066,183.20937244987005,259.73734413316555,2.8667863821554014,2.4765499472138037,3.3024822270038894,1.0531916749363783,0.07273923103717346,14.479004794512381,1.6446111705942734e-47,2.8667863821554036,2.4858767192139757,3.3060626447760106,4.933833511782821e-47,True,0.05,complexity_effects_within_interface | interface=dashboard,3.0,Yes
dashboard,hard_vs_mid,mid,hard,157.98096424921155,122.10642017025387,194.96737211855515,1.874342606037586,1.648916038818012,2.1252262680923364,0.6282579878309915,0.061785071333512714,10.168443189774539,2.74256952488262e-24,1.8743426060375878,1.6605709237949877,2.1156339391869943,5.48513904976524e-24,True,0.05,complexity_effects_within_interface | interface=dashboard,3.0,Yes
chatbot,mid_vs_easy,easy,mid,126.75666354196036,108.01628604907386,145.42233290800093,2.558117516773174,2.2924237845376942,2.88067962687106,0.9392716429822345,0.05805559820358027,16.178829812218005,7.113354601853318e-59,2.558117516773172,2.282987201205997,2.8664046938874055,1.4226709203706635e-58,True,0.05,complexity_effects_within_interface | interface=chatbot,3.0,Yes
chatbot,hard_vs_easy,easy,hard,298.7087343061681,256.6385945737501,339.45206166877813,4.671785753350275,4.11504762306677,5.310450981807107,1.541541386886737,0.065554867657355,23.51528485945745,2.845753934240486e-122,4.671785753350276,4.108492641181549,5.3123089247958,8.537261802721459e-122,True,0.05,complexity_effects_within_interface | interface=chatbot,3.0,Yes
chatbot,hard_vs_mid,mid,hard,171.95207076420772,131.43551994050463,212.4764164646496,1.826259240522811,1.6201545547674452,2.0550513359755556,0.6022697439045022,0.06196347543254224,9.719754092234142,2.483806070877216e-22,1.826259240522812,1.617405890614202,2.0620815300285718,2.483806070877216e-22,True,0.05,complexity_effects_within_interface | interface=chatbot,3.0,Yes
