CELL__dashboard__easy,CELL__dashboard__mid,CELL__dashboard__hard,CELL__chatbot__easy,CELL__chatbot__mid,CELL__chatbot__hard,SIMPLE_DIFF__easy,SIMPLE_RATIO__easy,SIMPLE_PCT__easy,SIMPLE_DIFF__mid,SIMPLE_RATIO__mid,SIMPLE_PCT__mid,SIMPLE_DIFF__hard,SIMPLE_RATIO__hard,SIMPLE_PCT__hard,COMP_DIFF__dashboard__mid_vs_easy,COMP_RATIO__dashboard__mid_vs_easy,COMP_DIFF__dashboard__hard_vs_easy,COMP_RATIO__dashboard__hard_vs_easy,COMP_DIFF__dashboard__hard_vs_mid,COMP_RATIO__dashboard__hard_vs_mid,COMP_DIFF__chatbot__mid_vs_easy,COMP_RATIO__chatbot__mid_vs_easy,COMP_DIFF__chatbot__hard_vs_easy,COMP_RATIO__chatbot__hard_vs_easy,COMP_DIFF__chatbot__hard_vs_mid,COMP_RATIO__chatbot__hard_vs_mid,DID_DIFF__mid_vs_easy,DID_RATIO__mid_vs_easy,DID_DIFF__hard_vs_mid,DID_RATIO__hard_vs_mid,DID_DIFF__hard_vs_easy,DID_RATIO__hard_vs_easy,OVERALL__chatbot,OVERALL__dashboard,OVERALL__diff,OVERALL__ratio
113.80014966599052,186.54595552543896,352.48353451678315,83.9891665747368,217.15055308874372,401.3865029073111,-29.810983091253718,0.738040914895538,-26.1959085104462,30.604597563304765,1.1640592929345566,16.405929293455657,48.902968390527974,1.1387383057695692,13.873830576956925,72.74580585944844,1.6392417415351495,238.68338485079263,3.097390781570508,165.9375789913442,1.8895265433332622,133.16138651400692,2.585459076981253,317.39733633257435,4.7790270969070985,184.2359498185674,1.8484249623038032,60.41558065455848,1.5772286731546814,18.29837082722321,0.9782476826406721,78.71395148178169,1.5429202945079892,234.17540752359724,217.60987990273756,16.565527620859683,1.0761248874741522
125.78697143087861,191.68297975536655,366.59955063728813,76.28633146255078,202.88257856513795,344.65498565486047,-49.50063996832783,0.6064724398303126,-39.35275601696874,11.199598809771402,1.05842771655608,5.842771655608003,-21.944564982427664,0.9401402294566926,-5.985977054330737,65.89600832448794,1.523869901428532,240.8125792064095,2.914447708431702,174.9165708819216,1.91253052881981,126.59624710258717,2.659487940703161,268.3686541923097,4.517912698738867,141.77240708972252,1.69879044367629,60.700238778099234,1.7452198105691692,-33.144163792199066,0.8882422623206881,27.556074985900167,1.5501779927868415,207.94129856084976,228.02316727451108,-20.081868713661322,0.9119305772580324
119.75413668598729,189.2963241721021,327.9264342829046,89.28178305553075,228.05791335081014,432.3147746061615,-30.47235363045654,0.7455423714475979,-25.445762855240204,38.76158917870805,1.2047667293500495,20.47667293500495,104.3883403232569,1.3183285316767122,31.832853167671217,69.5421874861148,1.58070801903457,208.1722975969173,2.738330744622002,138.63011011080252,1.7323444378389752,138.7761302952794,2.5543610974812694,343.03299155063075,4.842138673880134,204.25686125535137,1.8956359297261183,69.23394280916459,1.6159601056755353,65.62675114454885,1.0942604070647994,134.86069395371345,1.7682811630369875,249.88482367083412,212.32563171366465,37.559191957169475,1.1768942904068245
118.49937170737856,176.6554594334321,318.9044438150364,80.93407773858497,206.9976278066322,389.1884762779243,-37.56529396879358,0.6829916190479302,-31.700838095206983,30.34216837320011,1.171759018773115,17.175901877311507,70.28403246288786,1.2203921388554009,22.039213885540086,58.15608772605354,1.4907712748862816,200.40507210765787,2.6911910098775595,142.24898438160432,1.8052340122282327,126.06355006804723,2.5576077913092345,308.2543985393393,4.808709596160386,182.19084847129207,1.8801591129415574,67.90746234199369,1.715627228935125,39.941864089687755,1.0415043701845854,107.84932643168145,1.786833256543603,225.7067272743805,204.68642498528234,21.02030228909817,1.1026951459561112
107.59995168153871,172.0795219079654,327.04255030312623,73.82794711433037,210.38666378147838,364.50638789632137,-33.77200456720834,0.6861336456064346,-31.386635439356535,38.30714187351299,1.222613018962251,22.261301896225106,37.46383759319514,1.1145534046211143,11.45534046211143,64.47957022642667,1.5992527804962728,219.44259862158754,3.039430271038291,154.96302839516085,1.9005314907722775,136.55871666714802,2.8496886613367756,290.678440781991,4.937241277098559,154.119724114843,1.7325546274878052,72.07914644072133,1.7818875765546416,-0.8433042803178523,0.9116158484613085,71.23584216040348,1.6243969549635242,216.24033293071005,202.24067463087675,13.9996582998333,1.0692227630538962
118.16474445212775,185.8130205817314,308.5971238034002,87.08770688257181,201.86614706790175,378.36577955603167,-31.07703756955594,0.7370024560739754,-26.29975439260246,16.053126486170356,1.086393980550514,8.639398055051405,69.76865575263145,1.2260832988096135,22.608329880961353,67.64827612960364,1.572491198142523,190.43237935127246,2.61158372773719,122.78410322166883,1.6607938606092527,114.77844018532994,2.317963743609601,291.27807267345986,4.344651996248062,176.49963248812992,1.874339927975941,47.1301640557263,1.4740710449429888,53.71552926646109,1.128580718192413,100.84569332218739,1.6636081585683988,222.43987783550173,204.1916296124198,18.24824822308193,1.089368248138865
107.13982757175911,188.80196662529195,350.8981796174237,77.58882337436313,202.08873230644403,358.81272245929836,-29.551004197395983,0.72418282848548,-27.581717151452,13.286765681152076,1.070374085178476,7.037408517847599,7.914542841874663,1.0225550980358566,2.2555098035856647,81.66213905353284,1.7622015165073692,243.7583520456646,3.275142284342416,162.09621299213174,1.8585515071134715,124.4999089320809,2.6046113798036807,281.2238990849352,4.624541356015165,156.72399015285433,1.7755206753199908,42.83776987854806,1.478044000873375,-5.372222839277413,0.9553249767489971,37.465547039270646,1.4120123507683517,212.8300927133685,215.6133246048249,-2.78323189145641,0.9870915589444321
124.64835604251961,170.0276727530779,340.0432196914957,73.5286535794185,191.19856756685996,346.6825083945099,-51.119702463101106,0.5898886749403792,-41.01113250596208,21.17089481378207,1.1245144068079285,12.451440680792846,6.639288703014188,1.0195248377810258,1.9524837781025761,45.379316710558285,1.3640586859812147,215.39486364897613,2.7280200917812456,170.01554693841783,1.999928683287469,117.66991398744146,2.6003273317162794,273.1538548150914,4.7149307313244515,155.48394082764995,1.8132066197267873,72.29059727688318,1.9063163179418294,-14.531606110767882,0.9066356390000121,57.758991166115294,1.7283343130533408,203.80324318026277,211.57308282903108,-7.769839648768311,0.96327585936323
120.54479284130514,189.01713174244242,320.706589070169,86.68308844252253,213.12443851856736,394.1775373505548,-33.86170439878261,0.7190944245649757,-28.090557543502428,24.107306776124943,1.1275403269211275,12.754032692112748,73.47094828038581,1.2290908599458514,22.909085994585144,68.47233890113728,1.5680240289705403,200.16179622886386,2.660476504301376,131.6894573277266,1.6967064631324986,126.44135007604483,2.458662264437948,307.49444890803227,4.547340714699205,181.05309883198746,1.849518244320039,57.96901117490755,1.5680003743642508,49.36364150426087,1.0900637703149996,107.33265267916842,1.709220399934826,231.32835477054826,210.08950455130554,21.23885021924272,1.1010942943799271
124.26407189470027,177.9353311654736,343.0455865012524,85.32071872750232,218.96923184470253,361.7374553470309,-38.94335316719794,0.6866081034251154,-31.339189657488465,41.033900679228935,1.2306113148549955,23.06113148549955,18.691868845778515,1.0544880027066323,5.448800270663234,53.671259270773334,1.4319129290745731,218.78151460655212,2.760617620770907,165.1102553357788,1.9279228259745225,133.6485131172002,2.566425073657049,276.4167366195286,4.239737554278575,142.76822350232837,1.6520012985366936,79.97725384642688,1.7923052593118889,-22.34203183345042,0.8568814458128755,57.635222012976456,1.535793121937192,222.00913530641196,215.0816631871421,6.927472119269851,1.0322085668141885
