interface,complexity,predicted_time,CI_low_boot,CI_high_boot
dashboard,easy,118.13450422335596,106.62091813944697,129.9748686001594
dashboard,mid,180.68542372098509,162.86556199135228,201.36438458067374
dashboard,hard,338.66638797019664,302.050526631194,377.19225500332016
chatbot,easy,81.35244112040442,71.25440104286866,91.89933060668528
chatbot,mid,208.10910466236479,186.76155738125024,230.44748148866543
chatbot,hard,380.0611754265725,336.25469450141316,424.9051897099292
