analysis_role,contrast_code,label,diff_of_diffs_time,diff_of_diffs_time_CI_low_boot,diff_of_diffs_time_CI_high_boot,ratio_of_TR,ratio_of_TR_CI_low_boot,ratio_of_TR_CI_high_boot,log_effect,SE_robust,z,p_value,ratioTR_model,ratioTR_CI_low,ratioTR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
PRIMARY moderation contrast,hard_vs_easy,[chatbot/dashboard]@hard / [chatbot/dashboard]@easy,78.1768505593274,25.862696322007405,134.83927384440514,1.6296246495484537,1.3481211425778,1.990249524163114,0.48834971195035853,0.0979205617092377,4.987202926801515,6.125971198944627e-07,1.6296246495484525,1.3450469744079736,1.9744117112228148,1.2251942397889253e-06,True,0.05,internal_did_contrasts,3,Yes
EXPLORATORY follow-up contrast,mid_vs_easy,[chatbot/dashboard]@mid / [chatbot/dashboard]@easy,64.20574404433124,37.540602937027785,90.7076770349784,1.6725308459621093,1.4118936424624255,1.971929661433343,0.5143379558768478,0.08364699480571594,6.148911351465564,7.801656533774761e-10,1.6725308459621087,1.4196251510665097,1.9704915967381804,2.3404969601324283e-09,True,0.05,internal_did_contrasts,3,Yes
EXPLORATORY follow-up contrast,hard_vs_mid,[chatbot/dashboard]@hard / [chatbot/dashboard]@mid,13.971106514996166,-36.376316896847335,71.59733163521531,0.9743465440310165,0.8221787244513928,1.1717287405683814,-0.025988243926489296,0.08750352751384667,-0.29699652876710464,0.7664691592815194,0.9743465440310162,0.8207867016635529,1.1566356837179017,0.7664691592815194,False,0.05,internal_did_contrasts,3,No
