analysis_role,complexity,pred_chatbot,pred_dashboard,diff_time,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time,ratio_time_CI_low_boot,ratio_time_CI_high_boot,pct_change_boot_center,pct_change_CI_low_boot,pct_change_CI_high_boot,log_effect,SE_robust,z,p_value,TR,TR_CI_low,TR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
PRIMARY simple effect,easy,81.35244112040442,118.13450422335596,-36.78206310295154,-52.267029975329805,-21.5652541617729,0.6886425067361523,0.5848375989811543,0.8016082664798513,-31.135749326384765,-41.51624010188457,-19.83917335201487,-0.3730330007697658,0.08227078316742001,-4.53420991520949,5.781950493697399e-06,0.6886425067361526,0.5860906709692977,0.809138458558905,1.73458514810922e-05,True,0.05,simple_interface_effects,3,Yes
PRIMARY simple effect,mid,208.10910466236479,180.68542372098509,27.4236809413797,-1.690827405064747,55.95321012807317,1.1517758343568845,0.9916639360131073,1.331085265460977,15.177583435688447,-0.8336063986892689,33.108526546097714,0.14130495510708202,0.07583618261829651,1.8632920359178295,0.06242119002791713,1.1517758343568845,0.9926955763765277,1.3363488305757545,0.12484238005583426,False,0.05,simple_interface_effects,3,No
PRIMARY simple effect,hard,380.0611754265725,338.66638797019664,41.394787456375866,-14.363227448276216,97.03213052716508,1.1222288037040709,0.9604598818227448,1.3118336963456252,12.222880370407086,-3.954011817725521,31.183369634562517,0.11531671118059272,0.08074732137632872,1.4281180999571599,0.1532578686123737,1.1222288037040706,0.9579639515656915,1.3146606255952704,0.1532578686123737,False,0.05,simple_interface_effects,3,No
