contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,lower.CL,upper.CL,p.value.raw,p.value.holm,holm_reject_0.05,supports_h2_attenuation,ci_excludes_zero
did_mid_vs_easy,-0.8231242288131742,0.2543451068607899,Inf,-1.3216314779043137,-0.3246169797220346,-3.2362495153629696,0.0012111146802802138,-1.3216314779043137,-0.3246169797220346,0.0012111146802802138,0.0024222293605604276,TRUE,TRUE,TRUE
did_hard_vs_easy,-0.9619598074312579,0.25559405698118776,Inf,-1.4629149537768642,-0.46100466108565163,-3.763623531755514,1.6746894057094108e-4,-1.4629149537768642,-0.46100466108565163,1.6746894057094108e-4,5.024068217128233e-4,TRUE,TRUE,TRUE
did_hard_vs_mid,-0.1388355786180837,0.24845833101182874,Inf,-0.6258049590601991,0.3481338018240317,-0.5587881801052345,0.5763062901663156,-0.6258049590601991,0.3481338018240317,0.5763062901663156,0.5763062901663156,FALSE,TRUE,FALSE
