contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,lower.CL,upper.CL,p.value.raw,p.value.holm,holm_reject_0.05,supports_h2_attenuation,ci_excludes_zero
did_mid_vs_easy,-1.6902688027290216,0.6743409078264677,Inf,-3.011952695370942,-0.3685849100871008,-2.506549407149401,0.012191601782152053,-3.011952695370942,-0.3685849100871008,0.012191601782152053,0.03657480534645616,TRUE,TRUE,TRUE
did_hard_vs_easy,-1.8528897179743768,0.7404957895780696,Inf,-3.3042347962509435,-0.4015446396978104,-2.5022285663908272,0.012341421985715294,-3.3042347962509435,-0.4015446396978104,0.012341421985715294,0.03657480534645616,TRUE,TRUE,TRUE
did_hard_vs_mid,-0.1626209152453553,0.7418838449480343,Inf,-1.6166865320555999,1.2914447015648893,-0.21919996823322954,0.8264942802270503,-1.6166865320555999,1.2914447015648893,0.8264942802270503,0.8264942802270503,FALSE,TRUE,FALSE
