term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL,p.value.holm,holm_reject_0.05,supports_h2_attenuation,ci_excludes_zero
interface_conddashboard:task_complexitymid,location,-0.8231242288131742,0.2543451068607899,-3.2362495153629696,0.0012111146802802138,-0.8231242288131742,0.2543451068607899,-3.2362495153629696,0.0012111146802802138,0.0012111146802802138,-1.3216314779043137,-0.3246169797220346,-1.3216314779043137,-0.3246169797220346,0.0012111146802802138,TRUE,TRUE,TRUE
interface_conddashboard:task_complexityhard,location,-0.9619598074312579,0.25559405698118776,-3.763623531755514,1.6746894057094108e-4,-0.9619598074312579,0.25559405698118776,-3.763623531755514,1.6746894057094108e-4,1.6746894057094108e-4,-1.4629149537768642,-0.46100466108565163,-1.4629149537768642,-0.46100466108565163,3.3493788114188216e-4,TRUE,TRUE,TRUE
