no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
24,2068.1462815480572,-1010.0731407740286,NA,NA,NA
26,2055.697441555836,-1001.8487207779181,16.44883999222111,2,2.6802776123763543e-4
