model,nobs,logLik,AIC,BIC
additive_adjusted_for_industry_role,402,-1010.0731407740286,2068.1462815480572,2164.0611316749137
interaction_adjusted_for_industry_role,402,-1001.8487207779181,2055.697441555836,2159.6051958599305
