term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,threshold,-0.9390738432387247,0.30919522936507177,-3.037155020687415,0.002388225992053953,-0.9390738432387247,0.30919522936507177,-3.037155020687415,0.002388225992053953,0.002388225992053953,-1.5450853569858665,-0.3330623294915829,-1.5450853569858665,-0.3330623294915829
5|10,threshold,-0.05388129576869869,0.2986124325917122,-0.18043888963715615,0.8568080258184883,-0.05388129576869869,0.2986124325917122,-0.18043888963715615,0.8568080258184883,0.8568080258184883,-0.6391509089843491,0.5313883174469517,-0.6391509089843491,0.5313883174469517
10|15,threshold,0.494473297245018,0.2984368641643776,1.6568774056433742,0.09754426326795447,0.494473297245018,0.2984368641643776,1.6568774056433742,0.09754426326795447,0.09754426326795447,-0.09045220817623423,1.0793988026662702,-0.09045220817623423,1.0793988026662702
15|20,threshold,0.9502641573321592,0.30053238469792504,3.161935970019673,0.00156724021249539,0.9502641573321592,0.30053238469792504,3.161935970019673,0.00156724021249539,0.00156724021249539,0.3612315071362898,1.5392968075280287,0.3612315071362898,1.5392968075280287
20|25,threshold,1.3596955939209936,0.30423746765941295,4.469191794099281,7.851570473048085e-6,1.3596955939209936,0.30423746765941295,4.469191794099281,7.851570473048085e-6,7.851570473048085e-6,0.7634011145608749,1.9559900732811122,0.7634011145608749,1.9559900732811122
25|30,threshold,1.6407491378388435,0.30772567071619444,5.331856565687866,9.72137128732442e-8,1.6407491378388435,0.30772567071619444,5.331856565687866,9.72137128732442e-8,9.72137128732442e-8,1.0376179061166706,2.2438803695610163,1.0376179061166706,2.2438803695610163
30|35,threshold,1.8969862617501816,0.3111657822416621,6.096384532014245,1.0849425211452794e-9,1.8969862617501816,0.3111657822416621,6.096384532014245,1.0849425211452794e-9,1.0849425211452794e-9,1.2871125353352908,2.5068599881650724,1.2871125353352908,2.5068599881650724
35|40,threshold,2.118432655685122,0.31430612847012895,6.74002974742013,1.5835420733254047e-11,2.118432655685122,0.31430612847012895,6.74002974742013,1.5835420733254047e-11,1.5835420733254047e-11,1.50240396376345,2.734461347606794,1.50240396376345,2.734461347606794
40|45,threshold,2.4832681965391927,0.31947632968035966,7.772933284364872,7.668913819046944e-15,2.4832681965391927,0.31947632968035966,7.772933284364872,7.668913819046944e-15,7.668913819046944e-15,1.8571060964526431,3.1094302966257423,1.8571060964526431,3.1094302966257423
45|50,threshold,2.661156149512757,0.3219143064706113,8.266660089416384,1.377640272894623e-16,2.661156149512757,0.3219143064706113,8.266660089416384,1.377640272894623e-16,1.377640272894623e-16,2.0302157027221694,3.2920965963033444,2.0302157027221694,3.2920965963033444
50|55,threshold,2.956460362902021,0.3259686072509719,9.069770208349432,1.192682807879361e-19,2.956460362902021,0.3259686072509719,9.069770208349432,1.192682807879361e-19,1.192682807879361e-19,2.3175736325994345,3.595347093204608,2.3175736325994345,3.595347093204608
55|60,threshold,3.2652653569096186,0.33054877202501726,9.878316403675795,5.1694096285599984e-23,3.2652653569096186,0.33054877202501726,9.878316403675795,5.1694096285599984e-23,5.1694096285599984e-23,2.617401668606644,3.9131290452125933,2.617401668606644,3.9131290452125933
60|65,threshold,3.7725363393966123,0.3413839530236541,11.050713737371298,2.174788972622368e-28,3.7725363393966123,0.3413839530236541,11.050713737371298,2.174788972622368e-28,2.174788972622368e-28,3.1034360865703365,4.4416365922228875,3.1034360865703365,4.4416365922228875
65|70,threshold,4.108264734962438,0.35122545882447553,11.696944602798675,1.3212554289854722e-31,4.108264734962438,0.35122545882447553,11.696944602798675,1.3212554289854722e-31,1.3212554289854722e-31,3.41987548521291,4.796653984711965,3.41987548521291,4.796653984711965
70|75,threshold,4.641464566965576,0.37291179559131477,12.446548009042589,1.4602546307986915e-35,4.641464566965576,0.37291179559131477,12.446548009042589,1.4602546307986915e-35,1.4602546307986915e-35,3.9105708781964363,5.372358255734715,3.9105708781964363,5.372358255734715
75|80,threshold,5.081398035088203,0.40053555908495875,12.686509149641749,7.024761043168552e-37,5.081398035088203,0.40053555908495875,12.686509149641749,7.024761043168552e-37,7.024761043168552e-37,4.296362764754069,5.866433305422336,4.296362764754069,5.866433305422336
80|85,threshold,5.400783412222584,0.4317246811008146,12.509786094349828,6.600172048197635e-36,5.400783412222584,0.4317246811008146,12.509786094349828,6.600172048197635e-36,6.600172048197635e-36,4.554618586027948,6.24694823841722,4.554618586027948,6.24694823841722
85|90,threshold,6.037368241330973,0.5443161339205598,11.09165770605671,1.3771182969939949e-28,6.037368241330973,0.5443161339205598,11.09165770605671,1.3771182969939949e-28,1.3771182969939949e-28,4.970528222642595,7.104208260019351,4.970528222642595,7.104208260019351
industry_roleMiddle Management,location,0.21069370144810856,0.27995969772920254,0.7525858298786524,0.45169883534193633,0.21069370144810856,0.27995969772920254,0.7525858298786524,0.45169883534193633,0.45169883534193633,-0.33801722322384825,0.7594046261200653,-0.33801722322384825,0.7594046261200653
industry_roleUpper Management,location,-0.004116000375449354,0.3325311293168766,-0.012377789664098249,0.9901242049086906,-0.004116000375449354,0.3325311293168766,-0.012377789664098249,0.9901242049086906,0.9901242049086906,-0.6558650375749586,0.6476330368240599,-0.6558650375749586,0.6476330368240599
interface_conddashboard,location,1.7463186577727816,0.26092642084494017,6.692762856738683,2.1899588246560092e-11,1.7463186577727816,0.26092642084494017,6.692762856738683,2.1899588246560092e-11,2.1899588246560092e-11,1.2349122703017579,2.2577250452438054,1.2349122703017579,2.2577250452438054
task_complexitymid,location,0.8764844510196811,0.1895015317414975,4.625210376744128,3.7421837685193713e-6,0.8764844510196811,0.1895015317414975,4.625210376744128,3.7421837685193713e-6,3.7421837685193713e-6,0.5050682737911723,1.24790062824819,0.5050682737911723,1.24790062824819
task_complexityhard,location,2.099360456904651,0.20644765599024775,10.168972114674052,2.727718994351797e-24,2.099360456904651,0.20644765599024775,10.168972114674052,2.727718994351797e-24,2.727718994351797e-24,1.6947304864710506,2.503990427338251,1.6947304864710506,2.503990427338251
interface_conddashboard:task_complexitymid,location,-0.8231242288131742,0.2543451068607899,-3.2362495153629696,0.0012111146802802138,-0.8231242288131742,0.2543451068607899,-3.2362495153629696,0.0012111146802802138,0.0012111146802802138,-1.3216314779043137,-0.3246169797220346,-1.3216314779043137,-0.3246169797220346
