term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL,p.value.holm,holm_reject_0.05
industry_roleMiddle Management,location,0.21069370144810856,0.27995969772920254,0.7525858298786524,0.45169883534193633,0.21069370144810856,0.27995969772920254,0.7525858298786524,0.45169883534193633,0.45169883534193633,-0.33801722322384825,0.7594046261200653,-0.33801722322384825,0.7594046261200653,0.9033976706838727,FALSE
industry_roleUpper Management,location,-0.004116000375449354,0.3325311293168766,-0.012377789664098249,0.9901242049086906,-0.004116000375449354,0.3325311293168766,-0.012377789664098249,0.9901242049086906,0.9901242049086906,-0.6558650375749586,0.6476330368240599,-0.6558650375749586,0.6476330368240599,0.9901242049086906,FALSE
