model,group,coef_name,variance_random_effect,sd_random_effect,source
additive_adjusted,participant_id,(Intercept),0.8756822035495185,0.9357789287804671,model$ST
interaction_adjusted,participant_id,(Intercept),0.9682831626084623,0.9840138020416493,model$ST
