no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
24,2067.1503580440094,-1009.5751790220047,NA,NA,NA
26,2066.9986525870986,-1007.4993262935493,4.151705456910804,2,0.12544940759065817
