interface_cond,dl_ord,mean.class,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
chatbot,low,5.183762355101841,0.8683786317136816,Inf,3.481771511998854,6.885753198204828,3.481771511998854,6.885753198204828,NA,NA
dashboard,low,10.791129112441428,1.1631046905302922,Inf,8.51148580875245,13.070772416130406,8.51148580875245,13.070772416130406,NA,NA
chatbot,medium,6.275694027124901,0.5014320830387974,Inf,5.292905203675961,7.2584828505738415,5.292905203675961,7.2584828505738415,NA,NA
dashboard,medium,8.699389098786009,0.5088129781881031,Inf,7.702133986670763,9.696644210901255,7.702133986670763,9.696644210901255,NA,NA
chatbot,high,4.826946736129397,0.6396533000138874,Inf,3.573249305509984,6.08064416674881,3.573249305509984,6.08064416674881,NA,NA
dashboard,high,8.565992792288792,0.7654339273525764,Inf,7.0657698621326945,10.06621572244489,7.0657698621326945,10.06621572244489,NA,NA
