item_key,model,nobs,logLik,AIC,BIC
r1,additive,402,-684.7154545039139,1389.4309090078277,1429.395429894018
r1,interaction,402,-682.4206053219204,1388.841210643841,1436.7986357072691
r2,additive,402,-715.8263087154619,1451.6526174309238,1491.617138317114
r2,interaction,402,-714.3671004957353,1452.7342009914705,1500.6916260548987
r3,additive,402,-682.7073228743818,1385.4146457487636,1425.379166634954
r3,interaction,402,-682.2975771345102,1388.5951542690204,1436.5525793324487
