item_key,term,component,Estimate,Std. Error,z value,Pr(>|z|),conf.low,conf.high
r1,1|2,threshold,-1.873859132819051,0.21583620218302102,-8.681857417181982,3.89357336479213e-18,-2.2968903156576777,-1.4508279499804244
r1,2|3,threshold,-1.1754903810444897,0.20365218596600348,-5.772048924830687,7.831336873835873e-9,-1.57464133091071,-0.7763394311782694
r1,3|4,threshold,-0.7678887234219348,0.19902729790886003,-3.8582080523123605,1.1422139948621423e-4,-1.1579750592636244,-0.3778023875802452
r1,4|5,threshold,-0.39638585900256224,0.19615413715912902,-2.0207876557862057,0.04330175121275985,-0.7808409032529849,-0.011930814752139529
r1,5|6,threshold,-0.04582086958721664,0.19438941264650977,-0.2357168992044863,0.8136523556886144,-0.4268171173502706,0.3351753781758373
r1,6|7,threshold,0.7478159406172531,0.19759395563683949,3.7846093935771687,1.5395018035241332e-4,0.3605389040062426,1.1350929772282636
r1,interface_conddashboard,location,-0.012465675548102056,0.2576525913565856,-0.04838172006137455,0.9614120275202968,-0.5174554751304257,0.4925241240342215
r1,task_complexitymid,location,-1.0325887615895657,0.20313902869155195,-5.083162837986477,3.712012034910998e-7,-1.4307339416794562,-0.6344435814996753
r1,task_complexityhard,location,-1.6646381917180244,0.21819469171650213,-7.629141564455976,2.3632202076341264e-14,-2.0922919291001887,-1.2369844543358601
r1,interface_conddashboard:task_complexitymid,location,0.49770182584760253,0.2694700294283524,1.8469654191355376,0.06475215229661653,-0.030449726744916583,1.0258533784401216
r1,interface_conddashboard:task_complexityhard,location,-0.005708257749158762,0.27745085100751865,-0.020573942117784582,0.9835855272432826,-0.5495019332038837,0.5380854177055663
r2,1|2,threshold,-0.18362903745190717,0.173401518006467,-1.0589817180554253,0.2896081057916186,-0.5234897676091561,0.15623169270534176
r2,2|3,threshold,0.399553600268281,0.1743553458110188,2.2916051034153626,0.021928440729208118,0.05782340196665764,0.7412837985699043
r2,3|4,threshold,0.7277484646282854,0.1768325416561995,4.115466858148682,3.863965174214112e-5,0.38116305168745557,1.0743338775691151
r2,4|5,threshold,1.1337884091244723,0.18185578703353433,6.23454676707869,4.5308795956647686e-10,0.7773576161585589,1.4902192020903857
r2,5|6,threshold,1.7088020048712322,0.19232556295105646,8.884944770997981,6.395253150403737e-19,1.3318508281807708,2.0857531815616936
r2,6|7,threshold,2.4910877283120225,0.2115168575123701,11.777253868128865,5.11318853297776e-32,2.076522305464687,2.905653151159358
r2,interface_conddashboard,location,0.37908316966073935,0.22949591714996387,1.6518079030269974,0.09857371710648472,-0.07072056255217785,0.8288869018736565
r2,task_complexitymid,location,0.9265020936890497,0.19747480674648282,4.691748324526725,2.7088022454202925e-6,0.5394585846119362,1.3135456027661632
r2,task_complexityhard,location,1.6723301629544773,0.20829509442321803,8.028658416489657,9.854430745980134e-16,1.2640792797286002,2.0805810461803542
r2,interface_conddashboard:task_complexitymid,location,-0.23072625560320775,0.2639304591846232,-0.8741933625849958,0.3820129600644342,-0.748020450028188,0.2865679388217724
r2,interface_conddashboard:task_complexityhard,location,-0.45533824558183517,0.2668577740009329,-1.706295599918492,0.08795305691503824,-0.9783698716181928,0.06769338045452239
r3,1|2,threshold,-1.3701782556751372,0.19993315609220474,-6.853181745619227,7.222522840921618e-12,-1.7620400409312833,-0.9783164704189911
r3,2|3,threshold,-0.8837441932118341,0.19071804076609586,-4.63377344724138,3.590599336449594e-6,-1.2575446843154237,-0.5099437021082445
r3,3|4,threshold,-0.559155152156792,0.18719168217833324,-2.987072639392693,0.002816627893791114,-0.9260441074317933,-0.19226619688179064
r3,4|5,threshold,-0.12279137658186948,0.18512248689230887,-0.6632980068666687,0.5071397128381031,-0.48562478361928296,0.24004203045554404
r3,5|6,threshold,0.6993279513156156,0.18846733012165065,3.7106057100942538,2.0676393331943316e-4,0.3299387720147596,1.0687171306164718
r3,6|7,threshold,1.497647989147211,0.1992026722620917,7.5182123419346,5.553026307663159e-14,1.1072179258893753,1.8880780524050467
r3,interface_conddashboard,location,-0.4262531539102347,0.24658112326148252,-1.7286528192923438,0.08387125023001475,-0.9095432747701722,0.05703696694970267
r3,task_complexitymid,location,0.7050867220249472,0.1946863536996485,3.6216545670823774,2.927248238523397e-4,0.32350848049220987,1.0866649635576844
r3,task_complexityhard,location,1.2820009795774359,0.20527184276550994,6.245381550171573,4.227668151214523e-10,0.8796755607168676,1.6843263984380041
r3,interface_conddashboard:task_complexitymid,location,-0.22421330953216695,0.26307368243654716,-0.85228331262762,0.39405686563566733,-0.7398282523881266,0.2914016333237927
r3,interface_conddashboard:task_complexityhard,location,-0.04058043509272727,0.26902198315243203,-0.1508443087706099,0.8800985328001697,-0.5678538331210351,0.4866929629355806
